properties - ETA,properties - FIL,properties - NAME,properties - PLACES,properties - ind,properties - BACS
Université Bordeaux Montaigne (Public),2023,Licence - Licence 1 Allemand-information communication,15,75,100;0;0
Université Bordeaux Montaigne (Public),2023,Licence - Licence 1 Espagnol-information communication,25,31,95;4;0
Université de Nantes (Public),2029,Licence - LLCER : Italien parcours Europe,3,55,100;0;0
UNIVERSITE SAVOIE MONT BLANC - Chambéry (Public),2029,Licence - LLCER Anglais/Italien,15,100,93;6;0
Université Bordeaux Montaigne (Public),2016,Licence - Licence 1 Anglais-philosophie,40,98,90;9;0
Université Toulouse 3 Paul Sabatier (Public),2035,"Licence - Parcours Spécial (Mathématiques, Physique, Chimie)",36,51,100;0;0
UNIVERSITE SAVOIE MONT BLANC - Chambéry (Public),2029,Licence - LLCER Anglais/Espagnol,25,89,89;5;5
Université Toulouse 3 Paul Sabatier (Public),2033,"Licence - Parcours Spécial (Mathématiques, Physique, Chimie)",50,72,100;0;0
Université Toulouse 3 Paul Sabatier (Public),2034,"Licence - Parcours Spécial (Mathématiques, Physique, Chimie)",50,43,100;0;0
Université Paris 13 (Public),2029,Licence -  parcours Espagnol - Arabe,20,100,30;20;50
Institut Catholique de Rennes (Privé enseignement supérieur),2029,Licence - Anglais LLCE Droit et Relations Internationales,80,89,100;0;0
Institut Catholique de Rennes (Privé enseignement supérieur),2028,Licence - Lettres Modernes parcours Orthophonie,40,100,100;0;0
Université de Rennes 2 (Public),2030,Licence - Langues Etrangères Appliquées : Anglais et Italien (niveau B1/B2 attendu pour les 2 langues),40,100,66;11;19
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Portugais,16,100,50;28;21
Université de Rennes 2 (Public),2030,Licence - Langues Etrangères Appliquées : Anglais et Portugais (niveau B1/B2 attendu pour les 2 langues),40,100,50;15;35
Université de Reims Champagne-Ardenne (Public),2016,Licence - Philosophie (enseignement à distance),70,99,80;6;5
Université de Nice Sophia Antipolis (Public),2016,Licence -  Double licence Philosophie - Psychologie,45,49,100;0;0
Université Jean Moulin Lyon 3 (Public),2002,Licence - Double Licence : Droit et Philosophie  ,42,74,100;0;0
UNIVERSITE SAVOIE MONT BLANC - Bourget-du-Lac (Public),2033,Licence - MIST (Mathématiques tronc commun avec mentions Sciences et technologies et Informatique en Licence 1ère année) ,21,99,90;0;9
UNIVERSITE SAVOIE MONT BLANC - Bourget-du-Lac (Public),2039,Licence - Sciences de la vie et de la terre,50,100,89;10;0
UNIVERSITE GRENOBLE ALPES (Public),2029,Licence - double licence anglais/russe,10,94,83;0;16
Université Bordeaux Montaigne (Public),2029,"Licence - Licence 1 LLCER - Langues, littératures & civilisations étrangères et régionales : Anglais - Allemand",40,98,69;11;19
Université de Nice Sophia Antipolis (Public),2032,Licence - Double licence Mathématiques-Informatique,35,48,100;0;0
Université Toulouse 2 - Antenne de Foix (Public),2018,"Licence - Sociétés, cultures, territoires",60,99,90;6;3
Université de Franche-Comté - Site de Besançon (Public),2029,"Licence - Formation franco-allemande appliquée : culture et économie, en partenariat avec l'Université de Wuppertal (Bergische Universität)",30,73,100;0;0
Université Jean Moulin Lyon 3 (Public),2029,"Licence - Langues, Littératures et Civilisations Etrangères et Régionales Chinois - Cursus 4 ans",20,97,68;0;31
Université Paris Diderot - Paris 7 (Public),2036,Licence - Double licence Physique Chimie,32,44,100;0;0
Université Jean Moulin Lyon 3 (Public),2030,Licence - Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion parcours Management et Sciences Humaines (MSH),5,93,72;27;0
Université Jean Moulin Lyon 3 (Public),2030,Licence - Double Licence Langues Etrangères Appliquées Anglais-Portugais et Gestion parcours Techniques Quantitatives et Management (TQM),5,100,70;20;10
Université Angers (Public),2002,Licence - Double licence Droit et Economie,40,23,100;0;0
Université Jean Moulin Lyon 3 (Public),2030,Licence - Langues Etrangères Appliquées Anglais-Portugais - cursus 4 ans,20,100,76;7;15
Université Grenoble Alpes - Antennes de Valence (Public),2002,Licence - Double Licence : Droit/Economie-Gestion,35,67,95;4;0
Université de Rennes 1 (Public),2037,Licence - Sciences de la vie section internationale,38,24,100;0;0
Université Paris 8 (Public),2030,Licence - Anglais / Chinois,32,98,66;25;8
Facultés libres de l'ouest - UCO - Nantes (Privé enseignement supérieur),2002,Licence - Droit,150,100,75;18;6
Université de Lille (Public),2043,"Licence - Sciences pour la santé, option préparation masso-kinésithérapie",300,78,99;0;0
Université de Perpignan Via Domitia (Public),2028,Licence -  Théâtre,6,29,33;33;0
Université de Bourgogne - site de Nevers (Public),2015,"Licence -  Education, Formation, Enseignement, Culture (EFEC)",55,68,77;19;3
UCO - LA REUNION (Privé sous contrat d'association),2015,Licence - Sciences de l'éducation,60,99,86;12;2
Facultés libres de l'ouest - UCO - Bretagne Sud (Privé enseignement supérieur),2020,Licence - Sciences et Techniques des Activités Physiques et Sportives,60,62,80;19;0
Institut Catholique de Lyon (Privé enseignement supérieur),2028,Licence - Langues vivantes,40,43,100;0;0
Université Paris 13 (Public),2005,Licence - Double licence Economie-Géographie ,15,45,100;0;0
Université Jean Moulin Lyon 3 (Public),2030,Licence - Langues Etrangères Appliquées Anglais-Chinois cursus 4 ans,30,78,95;0;4
Campus des Comtes de champagne - URCA (Public),2029,Licence - Espagnol,60,100,47;23;29
Université Clermont Auvergne - Antenne de Vichy - UFR Médecine (Public),2045,"Licence - PACES site de Vichy : Première Année Commune aux Etudes de Santé (Médecine - Masso-kinésithérapie, Pharmacie, Odontologie, Maïeutique) ",250,100,81;11;6
Université Paris Diderot - Paris 7 (Public),2003,Licence - Double licence Economie Géographie,13,37,100;0;0
Université Clermont Auvergne (Public),2013,Licence - Sociologie,110,100,74;14;11
CNAM de Franche-Comté site de Besançon et CNAM de Franche-Comté site de Belfort (Public),2004,Licence - Gestion des organisations,70,13,85;14;0
CNAM de Franche-Comté site de Besançon et CNAM de Franche-Comté site de Belfort (Public),2004,Licence - Commerce Vente et Marketing,70,29,81;14;3
CNAM de Franche-Comté site de Besançon et CNAM de Franche-Comté site de Belfort (Public),2004,Licence - Gestion des Ressources Humaines,70,19,77;11;11
Université d'Evry Val d'Essonne (Public),2026,Licence - Arts du spectacle,97,100,51;21;25
Université Paris Nanterre (Public),2015,Licence - Sciences de l'éducation,76,17,68;20;6
Université de Mulhouse - Site de Colmar - Faculté de marketing et d'agrosciences (Public),2004,Licence - Marketing international,13,31,100;0;0
Université de Lille (Public),2013,Licence - Parcours aménagé bacheliers technologiques,40,55,0;87;9
Université de Rennes 2 (Public),2026,Licence - Arts du Spectacle Parcours Cinéma,270,98,77;14;5
Université de Rennes 2 (Public),2029,"Licence - Langues,  littératures & civilisations étrangères et régionales Arabe parcours débutants",40,100,51;24;18
Université de Rennes 2 (Public),2029,"Licence - Langues, littératures & civilisations étrangères et régionales Chinois parcours débutants",30,100,71;17;10
Université de Rennes 2 (Public),2029,"Licence - Langues, littératures  & civilisations étrangères et régionales Russe parcours débutants",40,100,83;0;16
Université de Bordeaux - Bordeaux Métropole (Public),2022,"Licence - Economie-gestion, Sciences cognitives",100,49,99;0;0
Université de Brest (Public),2024,Licence - pratique pluridisciplinaire,15,64,86;13;0
Université de Brest (Public),2009,"Licence - Culture européenne, classique et numérique",80,100,84;9;0
Université de Rennes 1 (Public),2033,Licence - Parcours DEFI Mathématiques,20,66,100;0;0
Université de Rennes 1 (Public),2036,Licence - Parcours DEFI Sciences et Propriétés de la Matière (SPM),30,56,100;0;0
Université de Nice Sophia Antipolis (Public),2037,Licence - Double licence Chimie - Sciences de la Vie,32,83,96;3;0
Université de Mulhouse (Public),2032,Licence - parcours Informatique transfrontalier,15,32,100;0;0
Université de Nantes (Public),2021,Licence - Sciences du langage,70,100,85;10;1
Université de Nantes (Public),2015,Licence - Sciences de l'éducation,95,39,78;18;1
Université de Nantes (Public),2029,Licence - LLCER : Anglais parcours Europe,8,17,100;0;0
Université de Caen Normandie (Public),2021,Licence - Sciences du langage,70,100,86;12;0
Université de Lille (Public),2029,Licence - Arabe débutant,80,97,20;33;42
Université de Caen Normandie (Public),2001,Licence - Administration publique,40,100,63;13;22
Université de Caen Normandie (Public),2041,Licence - Mécanique,40,96,70;25;5
Université de Caen Normandie (Public),2039,Licence - Sciences de la vie et de la terre,50,92,86;13;0
Université de Caen Normandie (Public),2043,Licence - Sciences pour la santé,100,75,90;9;0
UNIVERSITE GRENOBLE ALPES (Public),2046,Licence - Physique et musicologie,16,26,100;0;0
UNIVERSITE GRENOBLE ALPES (Public),2035,Licence - Chimie-Biologie International,32,51,100;0;0
UNIVERSITE GRENOBLE ALPES (Public),2034,Licence - Physique-Chimie-Mécanique International,32,58,100;0;0
Université de Caen Normandie (Public),2003,Licence - Economie,150,99,86;11;1
Université de Caen Normandie (Public),2004,Licence - Gestion,150,98,71;23;5
Université de Caen Normandie (Public),2040,"Licence - Electronique, énergie électrique, automatique",40,98,69;17;13
Université de Brest - Site de Quimper (Public),2002,Licence - Marché de l'art,100,100,90;3;3
Université de Brest (Public),2002,Licence - Droit/Langues Etrangères Appliquées parcours international,40,51,100;0;0
Université Paul Valery - Montpellier (Public),2021,"Licence - Parcours communication, médias, médiations numériques - ESJ M",30,86,96;3;0
UNIVERSITE GRENOBLE ALPES (Public),2037,Licence - Biologie international,32,37,100;0;0
Université de Rennes 2 (Public),2015,Licence - Sciences de l'éducation,160,42,77;17;5
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Anglais - Portugais,18,100,52;20;24
Université Le Havre Normandie (Public),2030,Licence - Anglais + 2 langues Asiatiques,40,30,90;6;3
Université Le Havre Normandie (Public),2005,Licence - Eco-Gestion Bilingue Anglais,25,17,100;0;0
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Anglais - Allemand - Programme International MINERVE,20,100,78;18;0
Université de Rennes 1 (Public),2002,Licence - Portail Droit Science politique - Rennes,880,100,93;4;0
Université de Rennes 1 (Public),2005,Licence - Portail Economie gestion,480,99,88;8;2
Université de Rennes 1 (Public),2032,Licence - Portail informatique électronique,260,98,77;17;4
Université de Rennes 1 (Public),2033,Licence - Portail Mathématiques et applications,180,100,89;7;3
Université de Rennes 1 (Public),2034,Licence - Portail Physique Chimie Géosciences,265,99,90;6;1
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Anglais - Espagnol - Programme International MINERVE,119,100,70;20;7
Université de Rennes 1 (Public),2037,Licence - Portail Biologie Environnement Chimie du vivant,480,100,90;8;0
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Anglais - Arabe,20,100,52;26;21
Université de Brest (Public),2005,Licence - parcours international,30,95,93;6;0
"Sorbonne Université – Lettres, Arts, Langues, Sciences Humaines et Sociales (Public)",2016,Licence - PHILOSOPHIE - LLCER RUSSE,25,100,77;11;0
"Sorbonne Université – Lettres, Arts, Langues, Sciences Humaines et Sociales (Public)",2010,Licence - HISTOIRE MAJEURE / mineure italien,20,98,60;0;40
"Sorbonne Université – Lettres, Arts, Langues, Sciences Humaines et Sociales (Public)",2016,Licence - PHILOSOPHIE MAJEURE / mineure italien,10,100,71;14;14
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Anglais - Scandinave,16,100,83;16;0
Université Lumière-Lyon 2 (Public),2030,Licence - Portail Langues : Allemand - Scandinave ,15,100,50;33;16
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2005,Licence - Economie et gestion,50,93,100;0;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2007,Licence - Double Licence LLCER Anglais / Science Politique,40,91,100;0;0
Université Toulouse 1 Capitole (Public),2002,Licence - parcours double diplôme international franco-russe (Moscou),10,100,87;12;0
"Sorbonne Université – Lettres, Arts, Langues, Sciences Humaines et Sociales (Public)",2029,Licence - LLCER : ITALIEN MAJEURE / mineure histoire,20,100,80;20;0
"Sorbonne Université – Lettres, Arts, Langues, Sciences Humaines et Sociales (Public)",2029,Licence - LLCER : ITALIEN MAJEURE / mineure philosophie,10,100,100;0;0
Université des Antilles - Pôle Martinique (Public),2024,Licence - ART,100,100,70;14;14
Institut Supérieur de l'Enseignement Privé de Polynésie (Privé enseignement supérieur),2020,Licence - Sciences et Techniques des Activités Physiques et Sportives,50,25,90;10;0
Université Paris Diderot - Paris 7 (Public),2038,Licence - Double licence Sciences de la terre - LLCER Japonais ou Chinois ,20,25,100;0;0
Université des Antilles - Pôle Martinique (Public),2023,Licence - Information et communication - Martinique,150,100,67;23;8
Université des Antilles - Pôle Martinique (Public),2015,Licence - Sciences de l'éducation - Martinique,200,100,71;16;12
ANT UFR DROIT SC POLITIQUES UNIVERSITE CAEN NORMANDIE (Public),2002,Licence - Droit,196,100,88;7;3
Université des Antilles - Pôle Martinique (Public),2007,Licence - Science Politique - Martinique,50,100,100;0;0
Université de Bourgogne - site de Dijon (Public),2029,Licence - LLCER Allemand Parcours bidisciplinaire binational franco-allemand : Allemand-Anglais / Allemand-Histoire / Allemand-Lettres / Allemand-Philosophie,30,54,100;0;0
Université de Caen Normandie (Public),2029,Licence - Langues nordiques option  Danois,30,100,80;20;0
Université de Caen Normandie (Public),2029,Licence - Langues nordiques option Finnois,30,100,80;20;0
Université de Caen Normandie (Public),2029,Licence - Langues nordiques option Norvégien,30,100,77;13;9
Université de Caen Normandie (Public),2029,Licence - Langues nordiques option Suédois,30,100,100;0;0
Institut Supérieur de l'Enseignement Privé de Polynésie (Privé enseignement supérieur),2015,Licence - Sciences de l'éducation,35,56,72;27;0
Université des Antilles - Pôle Guadeloupe (Public),2007,Licence - Science politique - Guadeloupe,100,100,78;9;9
Université des Antilles - Pôle Guadeloupe (Saint-Claude) (Public),2026,Licence - Arts vivants et patrimoine culturel et immatériel - Guadeloupe,40,99,73;10;15
Université des Antilles - Pôle Guadeloupe (Saint-Claude) (Public),2030,Licence - Anglais-Espagnol : Communication multilingue-langue orientale/Langues et Droit/Langues et coopération économique et culturelle-Saint-Claude-Guadeloupe,160,100,81;11;7
Université des Antilles - Pôle Guadeloupe (Saint-Claude) (Public),2028,Licence - Etudes littéraires appliquées (option préparation IEP) / Métiers de l'enseignement et de la recherche - Saint-Claude - Guadeloupe,100,100,90;2;6
Université des Antilles - Pôle Guadeloupe (Saint-Claude) (Public),2009,Licence - Histoire et sciences sociales (option préparation IEP) - Saint-Claude - Guadeloupe,100,99,64;10;26
Université de Caen Normandie (Public),2009,Licence - Humanités numériques,20,78,92;7;0
Université de Versailles - Saint Quentin en Yvelines (Public),2007,Licence - Science politique,90,99,94;2;2
Université de Versailles - Saint Quentin en Yvelines (Public),2002,Licence - Droit,390,100,87;8;2
Université de Caen Normandie (Public),2010,Licence - Histoire - Enseignement à distance,100,99,54;27;10
Université de Caen Normandie (Public),2028,Licence - Lettres - Enseignement à distance,50,100,65;10;10
Université de Caen Normandie (Public),2029,Licence - Anglais - Enseignement à distance,100,99,78;15;5
Université de Brest - Site de Quimper (Public),2011,Licence - Droit - Marché de l'art,80,100,92;4;0
Université de Brest - Site de Quimper (Public),2010,Licence - Histoire - Art et archéologie,40,99,81;12;6
Université de Bourgogne - site de Dijon (Public),2029,Licence - LLCER Anglais Parcours bidisciplinaire binational franco-allemand : Anglais-Allemand / Anglais-Lettres ,15,20,100;0;0
Université de Bourgogne - site de Dijon (Public),2016,Licence - Philosophie Parcours bidisciplinaire binational franco-allemand : Philosophie-Allemand / Philosophie-Lettres,2,46,0;0;0
Université de Bourgogne - site de Dijon (Public),2028,Licence - Lettres Parcours bidisciplinaire binational franco-allemand : Lettres-Allemand / Lettres-Anglais / Lettres-Histoire / Lettres-Philosophie,18,30,100;0;0
Université de Bourgogne - site de Dijon (Public),2002,Licence - Droit Cursus intégré franco-allemand,20,53,92;7;0
Université de Bourgogne - site de Dijon (Public),2010,Licence - Histoire Parcours bidisciplinaire binational franco-allemand : Histoire-Allemand / Histoire-Lettres,10,43,100;0;0
Université des Antilles - Pôle Guadeloupe (Public),2032,Licence - Informatique scientifique / Méthodes Informatiques appliquées à la  gestion des entreprises / Informatique appliquée - Guadeloupe,200,100,51;23;24
Université des Antilles - Pôle Guadeloupe (Public),2033,Licence - Application des sciences / Mathématiques pour l'enseignement  - Guadeloupe,150,100,90;6;0
Université de Bourgogne - site de Dijon (Public),2021,Licence - Sciences du langage,40,58,94;5;0
Université des Antilles - Pôle Guadeloupe (Public),2020,"Licence - STAPS (Activités physiques adaptées et santé, Education et motricité, Entraînement sportif) - Guadeloupe",360,100,66;22;11
Université des Antilles - Pôle Guadeloupe (Public),2002,Licence - Droit- Droit / Métiers de l'ingénierie économique et juridique - Guadeloupe,600,100,66;23;9
CFA interprofessionnel du CNAM (Public),3005,Licence - management - en apprentissage,15,-1,0;0;0
Université Paris 1 Panthéon Sorbonne (Public),2016,Licence - Philosophie - Economie,20,56,100;0;0
Université Paris 1 Panthéon Sorbonne (Public),2016,Licence - Philosophie - Histoire,20,58,100;0;0
Université Angers (Public),2033,Licence - Double licence Mathématiques - Economie,40,55,100;0;0
Université de Strasbourg (Public),2010,Licence - Histoire et civilisation des mondes mulsumans,20,100,61;23;15
Institut Catholique Paris (Privé enseignement supérieur),2030,Licence - Anglais-Espagnol ,90,100,91;8;0
Université des Antilles - Pôle Martinique (Public),2007,Licence - Droit ou Sciences politiques - Cycle Universitaire Préparatoire aux Grandes écoles (IEP) de province (L1) - CUPGE - Martinique,25,97,100;0;0
Université des Antilles - Pôle Guadeloupe (Public),2005,Licence - Métiers de l’environnement & aménagement du territoire/Métiers de l’expertise éco & managériale/Métiers de l’ingénierie éco & juridique - Guadeloupe,400,100,48;29;22
Sorbonne Université – Sciences et Ingénierie (Public),2046,Licence - Licence bi-disciplinaire Sciences et Chinois,15,11,100;0;0
Institut Catholique Paris (Privé enseignement supérieur),2016,Licence - Philosophie,50,100,86;13;0
Université de Lorraine - Site de Nancy (Public),2029,Licence - Arabe - Enseignement à distance,100,97,58;20;12
Université Paris 13 (Public),2005,"Licence - Parcours Langues renforcées, anglais et coréen",20,42,90;10;0
Institut Catholique Paris (Privé enseignement supérieur),2029,Licence - Allemand-Science Politique,30,100,100;0;0
Université de Caen Normandie (Public),2029,Licence - Langues nordiques option : Islandais,30,96,100;0;0
Facultés libres de l'ouest - UCO - Nantes (Privé enseignement supérieur),2005,Licence - Economie et gestion,60,100,92;3;3
Facultés libres de l'ouest - UCO - Bretagne Nord (Privé enseignement supérieur),2044,Licence - Sciences pour l'ingénieur,50,100,50;50;0
Campus de Bourg-en-Bresse - Université Lyon 3 (Public),2002,Licence - Droit.,110,63,81;13;2
Campus de Bourg-en-Bresse - Université Lyon 3 (Public),2004,Licence - Gestion - Bourg - parcours Management et Sciences Humaines (MSH),80,96,88;7;3
UNIVERSITE SAVOIE MONT BLANC - Annecy-le-Vieux (Public),2002,Licence - Double diplôme Droit - LEA,30,29,96;0;3
Avignon Université (Public),2035,Licence - Chimie,120,100,72;25;2
Université de Toulon (Public),2032,Licence - Licence Informatique,120,97,64;29;5
Université de Toulon (Public),2030,Licence - Licence Langues Etrangères Appliquées - Parcours Anglais/Espagnol,195,98,72;20;7
Université de Toulon (Public),2030,Licence - Licence Langues Etrangères Appliquées - Parcours Anglais/Italien,70,99,82;10;7
UNIVERSITE SAVOIE MONT BLANC - Chambéry (Public),2010,"Licence - Enseignement, recherche, patrimoine",90,100,53;30;12
Université de Nîmes (Public),2020,Licence - Sciences et Techniques des Activités Physique et Sportives,120,44,72;22;4
Université de Caen Normandie (Public),2013,Licence - Sociologie - Enseignement à distance,70,99,71;12;4
Université de Nice Sophia Antipolis (Public),2028,Licence - Lettres,135,100,77;4;16
Université de Nice Sophia Antipolis (Public),2027,Licence - Musicologie,90,100,67;23;6
Université de Caen Normandie (Public),2021,Licence - Sciences du langage - Enseignement à distance,40,100,75;13;6
Université de Nice Sophia Antipolis (Public),2038,Licence - Double licence Sciences de la Terre - Sciences de la Vie,35,97,96;0;3
Université de Nice Sophia Antipolis (Public),2020,Licence - Sciences et Techniques des Activités Physiques et Sportives,576,100,71;22;5
Université de Nice Sophia Antipolis (Public),2023,Licence - Information et communication,315,99,67;22;9
Université de Nice Sophia Antipolis (Public),2046,Licence - Chimie - Physique-Mathématiques - Sci. de la Terre - Electronique - Informatique - Mathématiques & Informatique Appliqués aux Scie. Humaines (MIASH),475,99,86;10;3
Université de Limoges (Public),2046,Licence -  Sciences et apprentissage chez l'enfant,50,98,76;18;5
Université de Nice Sophia Antipolis (Public),2033,Licence - Double licence Mathématiques - Physique,35,100,88;7;3
Université de Nice Sophia Antipolis (Public),2034,Licence - Double licence Physique - Sciences de la Terre ,35,100,95;0;0
Université de la Réunion - Le Tampon (Public),2043,Licence - Sciences pour la santé,120,100,55;40;3
Université de Poitiers (Site de Niort) (Public),2002,Licence - Droit et Techniques de l'Assurance,45,100,80;14;4
Université de Poitiers (Site d'Angoulême) (Public),2020,Licence - STAPS,190,30,83;14;1
Aix Marseille Université - site d'Aix-en-Provence (Public),2030,Licence - LEA Anglais-Turc,35,100,40;25;35
Aix Marseille Université - site d'Aix-en-Provence (Public),2030,Licence - LEA Anglais-Roumain,35,100,83;0;16
Aix Marseille Université - site d'Aix-en-Provence (Public),2030,Licence - LEA Anglais-Coréen,25,36,88;11;0
Aix Marseille Université - site d'Aix-en-Provence (Public),2029,Licence - LLCER Hébreu et études juives,20,100,83;16;0
Université de Nantes (Public),2030,Licence - LEA parcours commerce international,145,51,91;8;0
Université de Nantes (Public),2002,Licence - Droit parcours Franco-Allemand,30,100,70;11;18
Université de Poitiers (Public),2026,Licence - Arts du spectacle,110,79,94;4;0
Avignon Université (Public),2009,Licence - Etude des cultures et pratiques culturelles,120,100,60;15;24
Université de Poitiers (Public),2021,"Licence - Licence mention SCIENCES DU LANGAGE , Préparation au concours d'orthophonie",40,100,87;9;3
Université de Tours (Public),2010,Licence - Double licence Histoire et Sociologie,100,100,79;17;3
Université de Tours (Public),2035,Licence - Chimie / Chimie minérale / Chimie organique / Chimie analytique,80,99,87;12;0
Université de Mulhouse (Public),2002,Licence - Droit,180,100,80;9;9
Université de Tours (Public),2029,"Licence - Langues, Littératures et Civilisations Etrangères et Régionales / Anglais / Espagnol / LLCER",50,99,68;19;12
Université de Lorraine - Site de Nancy (Public),2003,Licence - Portail Economie - Gestion,270,98,87;7;4
Université de Lorraine -Site de Metz (Public),2003,Licence - Portail Economie - Gestion,150,98,74;18;6
Université de Poitiers (Public),2027,Licence - Musicologie,80,99,73;21;3
Université de Poitiers (Public),2011,Licence - Histoire de l'art et archéologie,120,100,83;8;7
Université de Poitiers (Public),2016,Licence - Double mention  PHILOSOPHIE / DROIT,30,98,88;11;0
Université de Poitiers (Public),2014,Licence - Psychologie,316,59,83;13;2
Université Angers (Public),2028,Licence - Double licence Lettres - Histoire,30,96,90;5;5
Université de Poitiers (Public),2005,Licence - Economie et gestion,240,99,79;15;4
Université de Mulhouse (Public),2032,Licence - parcours Mathématiques,28,99,90;10;0
Université de Poitiers (Public),2013,Licence - Sociologie,240,100,68;22;8
Université d'Amiens (Public),2044,Licence - Sciences pour l'ingénieur,24,99,57;28;14
Université d'Amiens - Antenne de Beauvais (Public),2009,Licence - Licence Humanités (Portail Lettres),114,100,58;16;17
Université d'Amiens (Public),2021,Licence - Sciences du langage,30,99,100;0;0
Université Toulouse 2 Jean Jaurès (Public),2029,Licence - Espagnol Jeunes Talents,40,100,86;9;4
Université Toulouse 2 Jean Jaurès (Public),2029,Licence - Allemand - Philosophie,60,100,77;11;11
Université de Reims Champagne-Ardenne (Public),2024,Licence - Musicologie,60,99,61;29;6
Université de Reims Champagne-Ardenne (Public),2040,"Licence - Electronique, énergie électrique, automatique",35,94,70;11;5
Université de Reims Champagne-Ardenne (Public),2042,Licence - Génie civil,35,95,76;24;0
ANTENNE ESPÉ CHALONS REIMS/URCA (Public),2015,Licence - Sciences de l'éducation,35,99,73;20;4
Université de Montpellier (Public),2046,"Licence - Métiers de l'enseignement, de l'éducation et de la formation (Faculté d'éducation)",64,15,90;9;0
Université de Montpellier (Public),2046,Licence - Portail MONOD (Faculté des Sciences),680,99,91;7;0
Université de Montpellier (Public),2046,Licence - Portail CURIE (Faculté des Sciences) ,390,100,89;6;1
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2043,Licence - Sciences pour la santé,40,100,85;14;0
ICES - Institut Catholique de Vendée (Privé enseignement supérieur),2029,Licence - LLCER Espagnol,50,100,83;16;0
Université de Mulhouse (Public),2007,Licence - Science politique,70,91,94;3;1
Université de Mulhouse (Public),2044,"Licence - EEA, Mécanique",40,97,60;25;15
Université de Mulhouse (Public),2030,"Licence - Langues étrangères appliquées, Economie et interculturalité, option Anglais Espagnol",20,93,61;27;11
Université de Mulhouse (Public),2030,"Licence - Langues étrangères appliquées, Economie et interculturalité, option Anglais Italien",20,98,29;35;35
Université de Mulhouse (Public),2030,"Licence - Langues étrangères appliquées, Traduction scientifique et technique, option Anglais  Allemand",15,97,53;26;20
Université de Mulhouse (Public),2030,"Licence - Langues étrangères appliquées, Traduction scientifique et technique, option Anglais Espagnol",10,94,88;0;11
Université de Limoges (Public),2005,Licence -  Parcours international,30,98,87;12;0
Université de Poitiers (Public),2028,Licence - Lettres parcours renforcé Sciences Politiques,60,42,98;1;0
Université de Limoges (Public),2032,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,75,100,85;11;1
Université de Limoges (Public),2034,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,40,99,77;16;5
Université de Limoges (Public),2035,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,50,100,80;15;0
Université de Limoges (Public),2036,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,30,99,92;4;4
Université de Limoges (Public),2042,Licence - Parcours commun Maths Info Physique Chimie Génie Civil,30,100,100;0;0
Aix-Marseille Université - Site de Marseille (Public),2005,Licence - Portail Administration économique et sociale – Economie et gestion - Gestion,536,98,62;20;16
Université de Poitiers (Public),2020,Licence - STAPS,270,24,88;10;1
INSSET de Saint-Quentin (Public),2046,Licence - Licence Sciences et Technologies (Portail Sciences),65,97,74;20;6
Aix Marseille Université - site d'Aix-en-Provence (Public),2028,"Licence - Portail : Philosophie, Anthropologie, Lettres",162,100,82;9;5
"Université de Montpellier, Antenne de Carcassonne (Public)",2046,"Licence - Métiers de l'enseignement, de l'éducation et de la formation (Faculté d'éducation) ",32,100,82;12;4
Université de Reims Champagne-Ardenne (Public),2010,Licence - Histoire-Lettres Classiques,40,100,72;27;0
Université de Poitiers (Public),2033,Licence - Parcours Renforcé (PR),30,25,100;0;0
Université de Poitiers (Public),2045,Licence - Première Année Commune des Etudes de Santé,900,99,95;3;0
Institut Catholique de Lille - ESPOL European School of Political and Social Sciences (Privé enseignement supérieur),2007,Licence - Relations Internationales,130,100,100;0;0
Université Paris Nanterre (Public),2010,Licence - Histoire - A distance,140,99,73;12;5
Université Paris Nanterre (Public),2009,"Licence - Humanités, Lettres et Sciences Humaines - A distance",80,100,76;13;0
Université Paris Nanterre (Public),2028,Licence - Lettres - A distance,50,100,68;15;6
Université Paris Nanterre (Public),2016,Licence - Philosophie - A distance,160,97,90;4;0
Université Paris Nanterre (Public),2029,Licence - Etudes anglophones - A distance,75,100,71;12;7
Université Paris Nanterre (Public),2029,Licence - Sociétés germanophones et cultures européennes - A distance,25,100,100;0;0
Université Paris Nanterre (Public),2029,Licence - Etudes hispaniques et hispano-américaines - A distance,50,100,81;7;5
Université Paris Nanterre (Public),2030,Licence - Allemand-Espagnol - A distance,20,100,80;0;20
Université Paris Nanterre (Public),2030,Licence - Espagnol-Anglais - A distance,100,100,67;17;11
Université Paris Nanterre (Public),2030,Licence - Allemand-Anglais - A distance,30,100,68;18;6
Université Paris 8 (Public),2010,Licence - Histoire / Anglais,35,99,56;15;28
